Event.Id,text_cluster
20001214X37302,4
20001214X43644,4
20010110X00157,4
20031009X01688,1
20001213X26552,4
20001213X30236,0
20010813X01671,0
20090515X42453,1
20050226X00235,2
20100309X84324,3
20001208X07010,3
20100526X92845,1
20001213X24909,5
20001206X02715,1
20001212X24212,4
20001213X31775,4
20001212X22901,2
20080215X00196,1
20090609X52506,2
20010821X01744,5
20001213X34217,5
20001214X39370,2
20030811X01299,1
20071113X01786,2
20001212X18056,2
20001213X26615,1
20001213X28060,3
20001208X06375,1
20130521X44138,3
20020327X00407,1
20001213X32487,4
20001207X04146,2
20030310X00306,1
20001212X24736,4
20001211X10229,2
20080730X01128,3
20050204X00131,3
20060616X00746,3
20001211X12191,4
20001214X36180,1
20020903X01506,2
20040210X00179,2
20001208X07798,0
20001214X36489,4
20001207X02845,1
20070119X00075,0
20001214X35740,5
20001211X16158,5
20001212X21049,1
20111113X32052,3
20001206X00901,1
20001206X00686,2
20001212X17684,4
20001211X10457,3
20001213X30405,3
20001214X43001,4
20140224X30708,3
20010323X00636,1
20001214X39380,4
20001211X14360,3
20001211X14594,1
20011026X02149,1
20001214X40596,4
20001208X06829,5
20030819X01364,3
20120826X33639,2
20040421X00489,1
20001211X15218,5
20001214X41147,4
20070314X00293,1
20100809X53916,3
20020917X05047,1
20001213X27921,4
20061006X01476,1
20071011X01543,1
20001212X22500,3
20001214X41177,4
20001206X01157,1
20030327X00401,1
20001213X28992,4
20001214X40554,4
20011023X02133,3
20001206X02142,1
20001214X45078,4
20090428X81708,1
20001214X39202,4
20031017X01754,3
20001207X04726,1
20001208X07488,1
20001206X02272,1
20050805X01163,3
20080422X00529,0
20001212X16321,1
20001213X27955,1
20031216X02040,1
20001213X34702,2
20001211X15159,1
20001214X44860,4
20021118X05475,1
20071108X01755,1
20060505X00518,3
20140814X92220,3
20001211X09460,2
20020917X03962,1
20020917X02841,0
20081016X91229,1
20001213X27776,1
20020917X03732,5
20001214X38335,1
20020917X02433,3
20001208X07498,1
20001212X18965,1
20001208X09046,1
20001213X27584,2
20001213X34481,4
20001214X36615,2
20001211X16149,1
20001207X03799,3
20050207X00141,0
20071121X01827,3
20001211X13762,5
20010416X00759,0
20001212X19612,1
20001212X18285,0
20001213X31027,4
20001212X20033,1
20001211X12718,3
20001213X27640,0
20001214X37927,4
20001214X40793,4
20050216X00203,3
20001214X39805,4
20001212X20691,3
20001211X09722,0
20150703X34853,1
20001211X15440,3
20001213X31753,4
20020718X01159,1
20001212X23208,4
20001207X03886,3
20001211X10722,2
20070813X01178,2
20001212X18118,5
20020917X01980,4
20001214X39177,4
20030522X00714,1
20001212X24260,1
20001213X35003,4
20001214X42916,4
20001212X18636,0
20001214X42745,4
20001214X38425,1
20001211X13566,1
20140522X72737,3
20001212X19226,3
20081219X65328,1
20150703X91507,0
20040812X01203,3
20020715X01121,0
20001211X12648,5
20060616X00755,1
20120530X25031,3
20001212X23188,1
20001213X26949,4
20060728X01042,3
20001211X14711,2
